id,region,rule,clientMCC,excludeClientMCC,direction,parentTypeId,excludeParentTypeId,priority,keyword,initiationMode,isCashback,channel,isOverdraftProtection,isBankSpecialSavings,isRej,isTermDepositRedemption,isReversal,deviceId,hasInstallments,transactionPurpose,keywordMccCharge,keywordMccNonCharge,activityClass
UNI_1__D_TRANSFER__COSMETICS,UNI,1,,,D,TRANSFER,,,COSMETICS,,,,,,,,,,,,5977,5977,
UNI_1__D_TRANSFER__COUNSELING,UNI,1,,,D,TRANSFER,,,COUNSELING,,,,,,,,,,,,7277,7277,
USA_2__D_TRANSFER__COVID,USA,2,,,D,TRANSFER,,,COVID,,,,,,,,,,,,8099,8099,
ISR_2__D_TRANSFER__COVID,ISR,2,,,D,TRANSFER,,,COVID,,,,,,,,,,,,8099,8099,
UNI_1__D_TRANSFER__CRAB,UNI,1,,,D,TRANSFER,,,CRAB,,,,,,,,,,,,5812,5812,
UNI_2__D_TRANSFER__CREAM,UNI,2,,,D,TRANSFER,,,CREAM,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__CREAMERY,UNI,1,,,D,TRANSFER,,,CREAMERY,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__CREAMIER,UNI,1,,,D,TRANSFER,,,CREAMIER,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__CRISPY,UNI,1,,,D,TRANSFER,,,CRISPY,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__CRUISE,UNI,1,,,D,TRANSFER,,,CRUISE,,,,,,,,,,,,4411,4411,
UNI_1__D_TRANSFER__CRUISES,UNI,1,,,D,TRANSFER,,,CRUISES,,,,,,,,,,,,4411,4411,
UNI_1__D_TRANSFER__CUISINE,UNI,1,,,D,TRANSFER,,,CUISINE,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__CULINAR,UNI,1,,,D,TRANSFER,,,CULINAR,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__CUPCAKES,UNI,1,,,D,TRANSFER,,,CUPCAKES,,,,,,,,,,,,5462,5462,
UNI_1__D_TRANSFER__CURRY,UNI,1,,,D,TRANSFER,,,CURRY,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__DAIRY,UNI,1,,,D,TRANSFER,,,DAIRY,,,,,,,,,,,,5451,5451,
CAN_1__D_TRANSFER__DEJEUNE,CAN,1,,,D,TRANSFER,,,DEJEUNE,,,,,,,,,,,,5812,5812,
UNI_2__D_TRANSFER__DELI,UNI,2,,,D,TRANSFER,,,DELI,,,,,,,,,,,,5422,5422,
UNI_1__D_TRANSFER__DELI CAFE,UNI,1,,,D,TRANSFER,,,DELI CAFE,,,,,,,,,,,,5812,5812,
CAN_1__D_TRANSFER__DEPANNEUR,CAN,1,,,D,TRANSFER,,,DEPANNEUR,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__DEPT STORE,UNI,1,,,D,TRANSFER,,,DEPT STORE,,,,,,,,,,,,5311,5311,
UNI_1__D_TRANSFER__DIAMONDS,UNI,1,,,D,TRANSFER,,,DIAMONDS,,,,,,,,,,,,5094,5094,
UNI_2__D_TRANSFER__DINER,UNI,2,,,D,TRANSFER,,,DINER,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__DINING,UNI,1,,,D,TRANSFER,,,DINING,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__DONUTS,UNI,1,,,D,TRANSFER,,,DONUTS,,,,,,,,,,,,5814,5814,
UNI_1__D_TRANSFER__DOUGH,UNI,1,,,D,TRANSFER,,,DOUGH,,,,,,,,,,,,5812,5812,
ISR_2__D_TRANSFER__DR.,ISR,2,,,D,TRANSFER,,,DR.,,,,,,,,,,,,8011,8011,
UNI_1__D_TRANSFER__DRINK,UNI,1,,,D,TRANSFER,,,DRINK,,,,,,,,,,,,5813,5813,
UNI_1__D_TRANSFER__DRINKS,UNI,1,,,D,TRANSFER,,,DRINKS,,,,,,,,,,,,5813,5813,
UNI_1__D_TRANSFER__DRIVE IN,UNI,1,,,D,TRANSFER,,,DRIVE IN,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__DRIVER,UNI,1,,,D,TRANSFER,,,DRIVER,,,,,,,,,,,,4789,4789,
UNI_1__D_TRANSFER__DRY CLEAN,UNI,1,,,D,TRANSFER,,,DRY CLEAN,,,,,,,,,,,,7216,7216,
UNI_1__D_TRANSFER__DRY CLEANERS,UNI,1,,,D,TRANSFER,,,DRY CLEANERS,,,,,,,,,,,,7216,7216,
UNI_1__D_TRANSFER__DUMPLING,UNI,1,,,D,TRANSFER,,,DUMPLING,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__DUTY FREE,UNI,1,,,D,TRANSFER,,,DUTY FREE,,,,,,,,,,,,5309,5309,
UNI_1__D_TRANSFER__EASY PARK,UNI,1,,,D,TRANSFER,,,EASY PARK,,,,,,,,,,,,7523,7523,
UNI_1__D_TRANSFER__EATING,UNI,1,,,D,TRANSFER,,,EATING,,,,,,,,,,,,5812,5812,
UNI_2__D_TRANSFER__EATS,UNI,2,,,D,TRANSFER,,,EATS,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__EPICERIE,UNI,1,,,D,TRANSFER,,,EPICERIE,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__ESPRESSO,UNI,1,,,D,TRANSFER,,,ESPRESSO,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__ESTIATOR,UNI,1,,,D,TRANSFER,,,ESTIATOR,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__EXPRESS MART,UNI,1,,,D,TRANSFER,,,EXPRESS MART,,,,,,,,,,,,5411,5411,
CAN_2__D_TRANSFER__FALAFEL,CAN,2,,,D,TRANSFER,,,FALAFEL,,,,,,,,,,,,5812,5812,
