id,region,rule,clientMCC,excludeClientMCC,direction,parentTypeId,excludeParentTypeId,priority,keyword,initiationMode,isCashback,channel,isOverdraftProtection,isBankSpecialSavings,isRej,isTermDepositRedemption,isReversal,deviceId,hasInstallments,transactionPurpose,keywordMccCharge,keywordMccNonCharge,activityClass
USA_0__C__0_USA_1_____HOME DEPOT|UNI_1____0_SALARY,USA,0,,,C,,,0,USA_1_____HOME DEPOT|UNI_1____0_SALARY,,,,,,,,,HOME DEPOT SALARY,,SALARY,29,29,
USA_0__C__0_USA_1_____GUARDIAN|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____GUARDIAN|UNI_1____0_PAYROLL,,,,,,,,,GUARDIAN PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1___CHARGE__7-ELEVEN|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_1___CHARGE__7-ELEVEN|UNI_1____0_PAYROLL,,,,,,,,,7-ELEVEN PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1_____ALLSTATE|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_1_____ALLSTATE|UNI_1____0_PAYROLL,,,,,,,,,ALLSTATE PAYROLL,,SALARY,29,29,
UNI_0__C__0_UNI_1____0_AMICA PENSION|UNI_1____0_PAYROLL,UNI,0,,,C,,,0,UNI_1____0_AMICA PENSION|UNI_1____0_PAYROLL,,,,,,,,,AMICA PENSION PAYROLL,,PENSION,28,28,
USA_0____0_UNI_1___CHARGE__AUTOMOTIVE|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1___CHARGE__AUTOMOTIVE|UNI_1____0_PAYROLL,,,,,,,,,AUTOMOTIVE PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1_____CLEANING|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____CLEANING|UNI_1____0_PAYROLL,,,,,,,,,CLEANING PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1___CHARGE__COCA COLA|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_1___CHARGE__COCA COLA|UNI_1____0_PAYROLL,,,,,,,,,COCA COLA PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1___CHARGE__COCA-COLA|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_1___CHARGE__COCA-COLA|UNI_1____0_PAYROLL,,,,,,,,,COCA-COLA PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1_____CONSTRUCTION|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____CONSTRUCTION|UNI_1____0_PAYROLL,,,,,,,,,CONSTRUCTION PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1___CHARGE__DELTA AIR|UNI_1____0_SALARY,UNI,0,,,,,,0,UNI_1___CHARGE__DELTA AIR|UNI_1____0_SALARY,,,,,,,,,DELTA AIR SALARY,,SALARY,29,29,
USA_0____0_UNI_1___CHARGE__DOLLAR GENERAL|UNI_2____0_PR PAYMENT,USA,0,,,,,,0,UNI_1___CHARGE__DOLLAR GENERAL|UNI_2____0_PR PAYMENT,,,,,,,,,DOLLAR GENERAL PR PAYMENT,,SALARY,29,29,
UNI_0____0_UNI_1___CHARGE__DONUTS|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_1___CHARGE__DONUTS|UNI_1____0_PAYROLL,,,,,,,,,DONUTS PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1_____EMERGENCY|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____EMERGENCY|UNI_1____0_PAYROLL,,,,,,,,,EMERGENCY PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1_____EYE CENTER|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____EYE CENTER|UNI_1____0_PAYROLL,,,,,,,,,EYE CENTER PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1___CHARGE__FRESH MARKET|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1___CHARGE__FRESH MARKET|UNI_1____0_PAYROLL,,,,,,,,,FRESH MARKET PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1_____GOOGLE|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____GOOGLE|UNI_1____0_PAYROLL,,,,,,,,,GOOGLE PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1_____HEALTHCARE|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____HEALTHCARE|UNI_1____0_PAYROLL,,,,,,,,,HEALTHCARE PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1_____HEATING|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____HEATING|UNI_1____0_PAYROLL,,,,,,,,,HEATING PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1___CHARGE__HILTON GARDEN|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_1___CHARGE__HILTON GARDEN|UNI_1____0_PAYROLL,,,,,,,,,HILTON GARDEN PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1___CHARGE__HOLIDAY INN|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1___CHARGE__HOLIDAY INN|UNI_1____0_PAYROLL,,,,,,,,,HOLIDAY INN PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_2_____INSUR|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_2_____INSUR|UNI_1____0_PAYROLL,,,,,,,,,INSUR PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1_____INSURANCE|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_1_____INSURANCE|UNI_1____0_PAYROLL,,,,,,,,,INSURANCE PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1___CHARGE__KRISPY KREME|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_1___CHARGE__KRISPY KREME|UNI_1____0_PAYROLL,,,,,,,,,KRISPY KREME PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1___CHARGE__MARRIOTT|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1___CHARGE__MARRIOTT|UNI_1____0_PAYROLL,,,,,,,,,MARRIOTT PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1_____METLIFE|UNI_2____0_PENSION,UNI,0,,,,,,0,UNI_1_____METLIFE|UNI_2____0_PENSION,,,,,,,,,METLIFE PENSION,,PENSION,28,28,
USA_0____0_UNI_1_____MORTGAGE|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____MORTGAGE|UNI_1____0_PAYROLL,,,,,,,,,MORTGAGE PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1___CHARGE__NORDSTROM|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1___CHARGE__NORDSTROM|UNI_1____0_PAYROLL,,,,,,,,,NORDSTROM PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1_____PLUMBING|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____PLUMBING|UNI_1____0_PAYROLL,,,,,,,,,PLUMBING PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1___CHARGE__QUICKBOOKS|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1___CHARGE__QUICKBOOKS|UNI_1____0_PAYROLL,,,,,,,,,QUICKBOOKS PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1___CHARGE__RESTAURANT|UNI_2____0_PR PAYMENT,USA,0,,,,,,0,UNI_1___CHARGE__RESTAURANT|UNI_2____0_PR PAYMENT,,,,,,,,,RESTAURANT PR PAYMENT,,SALARY,29,29,
USA_0____0_UNI_1___CHARGE__SBARRO|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1___CHARGE__SBARRO|UNI_1____0_PAYROLL,,,,,,,,,SBARRO PAYROLL,,SALARY,29,29,
UNI_0__C__0_UNI_1_____SQUARE INC|UNI_1____0_PAYROLL,UNI,0,,,C,,,0,UNI_1_____SQUARE INC|UNI_1____0_PAYROLL,,,,,,,,,SQUARE INC PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1_____STATE OF|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____STATE OF|UNI_1____0_PAYROLL,,,,,,,,,STATE OF PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1___CHARGE__TOYOTA|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_1___CHARGE__TOYOTA|UNI_1____0_PAYROLL,,,,,,,,,TOYOTA PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1___CHARGE__TRACTOR|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1___CHARGE__TRACTOR|UNI_1____0_PAYROLL,,,,,,,,,TRACTOR PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1___CHARGE__TRANSPORT|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1___CHARGE__TRANSPORT|UNI_1____0_PAYROLL,,,,,,,,,TRANSPORT PAYROLL,,SALARY,29,29,
USA_0____0_USA_1_____TREAS 310|UNI_2____0_FED SAL,USA,0,,,,,,0,USA_1_____TREAS 310|UNI_2____0_FED SAL,,,,,,,,,TREAS 310 FED SAL,,SALARY,29,29,
USA_0____0_UNI_1_____UNIVERSITY|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____UNIVERSITY|UNI_1____0_PAYROLL,,,,,,,,,UNIVERSITY PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1___CHARGE__WHOLE FOODS MAR|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_1___CHARGE__WHOLE FOODS MAR|UNI_1____0_PAYROLL,,,,,,,,,WHOLE FOODS MAR PAYROLL,,SALARY,29,29,
USA_0____0_UNI_1_____WIRELESS|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_1_____WIRELESS|UNI_1____0_PAYROLL,,,,,,,,,WIRELESS PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_2___CHARGE__ACE HARDWA|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_2___CHARGE__ACE HARDWA|UNI_1____0_PAYROLL,,,,,,,,,ACE HARDWA PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_2___CHARGE__ACE HARDWARE|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_2___CHARGE__ACE HARDWARE|UNI_1____0_PAYROLL,,,,,,,,,ACE HARDWARE PAYROLL,,SALARY,29,29,
UNI_0__C__0_UNI_2___CHARGE__AMAZON|UNI_1____0_PAYROLL,UNI,0,,,C,,,0,UNI_2___CHARGE__AMAZON|UNI_1____0_PAYROLL,,,,,,,,,AMAZON PAYROLL,,SALARY,29,29,
UNI_0___CHARGE__UNI_2___CHARGE__AMAZON|UNI_1_____PRIME,UNI,0,,,,CHARGE,,,UNI_2___CHARGE__AMAZON|UNI_1_____PRIME,,,Online,,,,,,AMAZON PRIME,,,5399,,
UNI_0__C__0_UNI_2_____AMICA|UNI_1____0_PAYROLL,UNI,0,,,C,,,0,UNI_2_____AMICA|UNI_1____0_PAYROLL,,,,,,,,,AMICA PAYROLL,,SALARY,29,29,
USA_0____0_UNI_2___CHARGE__ARAMARK|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_2___CHARGE__ARAMARK|UNI_1____0_PAYROLL,,,,,,,,,ARAMARK PAYROLL,,SALARY,29,29,
USA_0____0_UNI_2___CHARGE__FOOD|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_2___CHARGE__FOOD|UNI_1____0_PAYROLL,,,,,,,,,FOOD PAYROLL,,SALARY,29,29,
USA_0____0_UNI_2___CHARGE__FOODS|UNI_1____0_PAYROLL,USA,0,,,,,,0,UNI_2___CHARGE__FOODS|UNI_1____0_PAYROLL,,,,,,,,,FOODS PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_2_____INS|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_2_____INS|UNI_1____0_PAYROLL,,,,,,,,,INS PAYROLL,,SALARY,29,29,
UNI_0___CHARGE__UNI_4_____ACE|UNI_1_____HARDWA,UNI,0,,,,CHARGE,,,UNI_4_____ACE|UNI_1_____HARDWA,,,,,,,,,ACE HARDWARE,,,,,
UNI_0___CHARGE__UNI_4_____ACE|UNI_1_____HARDWAR,UNI,0,,,,CHARGE,,,UNI_4_____ACE|UNI_1_____HARDWAR,,,,,,,,,ACE HARDWARE,,,,,
UNI_0___CHARGE__UNI_4_____ACE|UNI_1_____HARDWARE,UNI,0,,,,CHARGE,,,UNI_4_____ACE|UNI_1_____HARDWARE,,,,,,,,,ACE HARDWARE,,,,,
UNI_0___CHARGE__UNI_4_____ACE|UNI_2_____HARD,UNI,0,,,,CHARGE,,,UNI_4_____ACE|UNI_2_____HARD,,,,,,,,,ACE HARDWARE,,,,,
UNI_0___CHARGE__UNI_4_____ACE|UNI_2_____HARDW,UNI,0,,,,CHARGE,,,UNI_4_____ACE|UNI_2_____HARDW,,,,,,,,,ACE HARDWARE,,,,,
UNI_0___CHARGE__UNI_4_____ACE|UNI_2_____HDWE,UNI,0,,,,CHARGE,,,UNI_4_____ACE|UNI_2_____HDWE,,,,,,,,,ACE HARDWARE,,,,,
UNI_0___CHARGE__UNI_4_____ACE|UNI_2_____HDWR,UNI,0,,,,CHARGE,,,UNI_4_____ACE|UNI_2_____HDWR,,,,,,,,,ACE HARDWARE,,,,,
USA_0__C__0_UNI_4___CHARGE__KWIK TRIP|UNI_1____0_PAYROLL,USA,0,,,C,,,0,UNI_4___CHARGE__KWIK TRIP|UNI_1____0_PAYROLL,,,,,,,,,KWIK TRIP PAYROLL,,SALARY,29,29,
USA_0____0_USA_1___CHARGE__AAA NORTHEAST|UNI_1____0_PAYROLL,USA,0,,,,,,0,USA_1___CHARGE__AAA NORTHEAST|UNI_1____0_PAYROLL,,,,,,,,,AAA NORTHEAST PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____AMERICAN FAMILY|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____AMERICAN FAMILY|UNI_1____0_PAYROLL,,,,,,,,,AMERICAN FAMILY PAYROLL,,SALARY,29,29,
UNI_0____0_UNI_1___CHARGE__BEST BUY STORE|UNI_1____0_PAYROLL,UNI,0,,,,,,0,UNI_1___CHARGE__BEST BUY STORE|UNI_1____0_PAYROLL,,,,,,,,,BEST BUY PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____CAREMARK|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____CAREMARK|UNI_1____0_PAYROLL,,,,,,,,,CAREMARK PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____COMPASS GROUP|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____COMPASS GROUP|UNI_1____0_PAYROLL,,,,,,,,,COMPASS GROUP PAYROLL,,SALARY,29,29,
USA_0____0_USA_1___CHARGE__CUMBERLAND FARMS|UNI_1____0_PAYROLL,USA,0,,,,,,0,USA_1___CHARGE__CUMBERLAND FARMS|UNI_1____0_PAYROLL,,,,,,,,,CUMBERLAND FARMS PAYROLL,,SALARY,29,29,
USA_0____0_USA_1_____DELTA  DENTAL|UNI_1____0_PAYROLL,USA,0,,,,,,0,USA_1_____DELTA  DENTAL|UNI_1____0_PAYROLL,,,,,,,,,DELTA  DENTAL PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____DISH NETWORK|UNI_1____0_SALARY,USA,0,,,C,,,0,USA_1_____DISH NETWORK|UNI_1____0_SALARY,,,,,,,,,DISH NETWORK SALARY,,SALARY,29,29,
USA_0____0_USA_1___CHARGE__DOLLAR TREE|UNI_2____0_PR PAYMENT,USA,0,,,,,,0,USA_1___CHARGE__DOLLAR TREE|UNI_2____0_PR PAYMENT,,,,,,,,,DOLLAR TREE PR PAYMENT,,SALARY,29,29,
USA_0__C__0_USA_1_____FARM AND FLEET|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____FARM AND FLEET|UNI_1____0_PAYROLL,,,,,,,,,FARM AND FLEET PAYROLL,,SALARY,29,29,
USA_0____0_USA_1___CHARGE__GOODWILL|UNI_1____0_PAYROLL,USA,0,,,,,,0,USA_1___CHARGE__GOODWILL|UNI_1____0_PAYROLL,,,,,,,,,GOODWILL PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____HALLMARK|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____HALLMARK|UNI_1____0_PAYROLL,,,,,,,,,HALLMARK PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1___CHARGE__HARLEY-DAVIDSON|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1___CHARGE__HARLEY-DAVIDSON|UNI_1____0_PAYROLL,,,,,,,,,HARLEY-DAVIDSON PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____INTUIT|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____INTUIT|UNI_1____0_PAYROLL,,,,,,,,,INTUIT PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____JOHN DEERE|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____JOHN DEERE|UNI_1____0_PAYROLL,,,,,,,,,JOHN DEERE PAYROLL,,SALARY,29,29,
USA_0____0_USA_1___CHARGE__KROGER|UNI_1____0_PAYROLL,USA,0,,,,,,0,USA_1___CHARGE__KROGER|UNI_1____0_PAYROLL,,,,,,,,,KROGER PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____LABCORP|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____LABCORP|UNI_1____0_PAYROLL,,,,,,,,,LABCORP PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____LANDS END|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____LANDS END|UNI_1____0_PAYROLL,,,,,,,,,LANDS END PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____LIBERTY MUTUAL|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____LIBERTY MUTUAL|UNI_1____0_PAYROLL,,,,,,,,,LIBERTY MUTUAL PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____MEDIACOM|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____MEDIACOM|UNI_1____0_PAYROLL,,,,,,,,,MEDIACOM PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____PIGGLY WIGGLY|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____PIGGLY WIGGLY|UNI_1____0_PAYROLL,,,,,,,,,PIGGLY WIGGLY PAYROLL,,SALARY,29,29,
USA_0____0_USA_1___CHARGE__RURAL KING|UNI_1____0_PAYROLL,USA,0,,,,,,0,USA_1___CHARGE__RURAL KING|UNI_1____0_PAYROLL,,,,,,,,,RURAL KING PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____SENDIK'S|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____SENDIK'S|UNI_1____0_PAYROLL,,,,,,,,,SENDIK'S PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____SIX FLAGS|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____SIX FLAGS|UNI_1____0_PAYROLL,,,,,,,,,SIX FLAGS PAYROLL,,SALARY,29,29,
USA_0____0_USA_1___CHARGE__SONIC DRIVE IN|UNI_1____0_PAYROLL,USA,0,,,,,,0,USA_1___CHARGE__SONIC DRIVE IN|UNI_1____0_PAYROLL,,,,,,,,,SONIC DRIVE IN PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____TARGET|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____TARGET|UNI_1____0_PAYROLL,,,,,,,,,TARGET PAYROLL,,SALARY,29,29,
USA_0____0_USA_1___CHARGE__TRADER JOES|UNI_1____0_PAYROLL,USA,0,,,,,,0,USA_1___CHARGE__TRADER JOES|UNI_1____0_PAYROLL,,,,,,,,,TRADER JOES PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____WAL-MART|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____WAL-MART|UNI_1____0_PAYROLL,,,,,,,,,WAL-MART PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_1_____WISCONSIN|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_1_____WISCONSIN|UNI_1____0_PAYROLL,,,,,,,,,WISCONSIN PAYROLL,,SALARY,29,29,
USA_0____0_USA_2___CHARGE__COMCAST|UNI_1____0_PAYROLL,USA,0,,,,,,0,USA_2___CHARGE__COMCAST|UNI_1____0_PAYROLL,,,,,,,,,COMCAST PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_2_____CVS|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_2_____CVS|UNI_1____0_PAYROLL,,,,,,,,,CVS PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_2_____LOWE'S|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_2_____LOWE'S|UNI_1____0_PAYROLL,,,,,,,,,LOWE'S PAYROLL,,SALARY,29,29,
USA_0___CHARGE__USA_2_____OLD CHICAGO|USA_8_____INN,USA,0,,,,CHARGE,,,USA_2_____OLD CHICAGO|USA_8_____INN,,,,,,,,,OLD CHICAGO,,,,,
USA_0__C__0_USA_2_____SHELL|UNI_1____0_PAYROLL,USA,0,,,C,,,0,USA_2_____SHELL|UNI_1____0_PAYROLL,,,,,,,,,SHELL PAYROLL,,SALARY,29,29,
USA_0__C__0_USA_2_____USPS|USA_1____0_FED SALARY,USA,0,,,C,,,0,USA_2_____USPS|USA_1____0_FED SALARY,,,,,,,,,USPS FED SALARY,,SALARY,29,29,
ISR_1___CHARGE__012 MOBILE,ISR,1,,,,CHARGE,,,012 MOBILE,,,,,,,,,012 MOBILE,,,,,
ISR_1___CHARGE__012פרטנר,ISR,1,,,,CHARGE,,,012פרטנר,,,,,,,,,012 MOBILE,,,,,
ISR_1___CHARGE__MOBILE -  012פרטנר,ISR,1,,,,CHARGE,,,MOBILE -  012פרטנר,,,,,,,,,012 MOBILE,,,,,
ISR_1___CHARGE__MOBILE 012,ISR,1,,,,CHARGE,,,MOBILE 012,,,,,,,,,012 MOBILE,,,,,
ISR_1___CHARGE__פרטנר 012,ISR,1,,,,CHARGE,,,פרטנר 012,,,,,,,,,012 MOBILE,,,,,
ISR_1___CHARGE__019 מובייל,ISR,1,,,,CHARGE,,,019 מובייל,,,,,,,,,019 MOBILE,,,,,
ISR_1___CHARGE__טלזר 019 שירותי,ISR,1,,,,CHARGE,,,טלזר 019 שירותי,,,,,,,,,019 MOBILE,,,,,
ISR_1___CHARGE__מובייל 019,ISR,1,,,,CHARGE,,,מובייל 019,,,,,,,,,019 MOBILE,,,,,
MEX_1___CHARGE__1AND1,MEX,1,,,,CHARGE,,,1AND1,,,,,,,,,1AND1,,,,,
IRL_2___CHARGE__247 TV,IRL,2,,,,CHARGE,,,247 TV,,,Online,,,,,,247 TV,,,,,
MEX_2_____3RA RONDA,MEX,2,,,,,,,3RA RONDA,,,,,,,,,3RA RONDA,,,,,
SGP_1___CHARGE__4FINGERS,SGP,1,,,,CHARGE,,,4FINGERS,,,,,,,,,4FINGERS,,,,,
SGP_1___CHARGE__9FINGERS,SGP,1,,,,CHARGE,,,9FINGERS,,,,,,,,,4FINGERS,,,,,
MEX_2_____50 FRIENDS,MEX,2,,,,,,,50 FRIENDS,,,,,,,,,50 FRIENDS,,,,,
USA_4___CHARGE__54TH STREET,USA,4,,,,CHARGE,,,54TH STREET,,,,,,,,,54TH STREET,,,,,
UNI_2_____7 DAYS INN,UNI,2,,,,,,,7 DAYS INN,,,,,,,,,7 DAYS INN,,,7011,,
TWN_1_____759 STORE,TWN,1,,,,,,,759 STORE,,,,,,,,,759 STORE,,,,,
HKG_1_____759 STORE,HKG,1,,,,,,,759 STORE,,,,,,,,,759 STORE,,,,,
UNI_1___CHARGE__7 ELEV,UNI,1,,,,CHARGE,,,7 ELEV,,,,,,,,,7-ELEVEN,,,,,
UNI_1___CHARGE__7 ELEVEN,UNI,1,,,,CHARGE,,,7 ELEVEN,,,,,,,,,7-ELEVEN,,,,,
UNI_1___CHARGE__7- ELEVEN,UNI,1,,,,CHARGE,,,7- ELEVEN,,,,,,,,,7-ELEVEN,,,,,
UNI_1___CHARGE__7ELEVEN,UNI,1,,,,CHARGE,,,7ELEVEN,,,,,,,,,7-ELEVEN,,,,,
UNI_1___CHARGE__7-ELEVEN,UNI,1,,,,CHARGE,,,7-ELEVEN,,,,,,,,,7-ELEVEN,,,,,
UNI_1___CHARGE__9 ELEVEN,UNI,1,,,,CHARGE,,,9 ELEVEN,,,,,,,,,7-ELEVEN,,,,,
UNI_1___CHARGE__9- ELEVEN,UNI,1,,,,CHARGE,,,9- ELEVEN,,,,,,,,,7-ELEVEN,,,,,
UNI_1___CHARGE__9ELEVEN,UNI,1,,,,CHARGE,,,9ELEVEN,,,,,,,,,7-ELEVEN,,,,,
UNI_1___CHARGE__9-ELEVEN,UNI,1,,,,CHARGE,,,9-ELEVEN,,,,,,,,,7-ELEVEN,,,,,
UNI_1___CHARGE__SEVEN-ELEVEN,UNI,1,,,,CHARGE,,,SEVEN-ELEVEN,,,,,,,,,7-ELEVEN,,,,,
JPN_1___CHARGE__セブンイレブン,JPN,1,,,,CHARGE,,,セブンイレブン,,,,,,,,,7-ELEVEN,,,,,
TWN_1___CHARGE__統一,TWN,1,,,,CHARGE,,,統一,,,,,,,,,7-ELEVEN,,,,,
HKG_1___CHARGE__統一,HKG,1,,,,CHARGE,,,統一,,,,,,,,,7-ELEVEN,,,,,
TWN_1___CHARGE__統一超商,TWN,1,,,,CHARGE,,,統一超商,,,,,,,,,7-ELEVEN,,,,,
HKG_1___CHARGE__統一超商,HKG,1,,,,CHARGE,,,統一超商,,,,,,,,,7-ELEVEN,,,,,
UNI_2___CHARGE__7  ELEVEN,UNI,2,,,,CHARGE,,,7  ELEVEN,,,,,,,,,7-ELEVEN,,,,,
UNI_2___CHARGE__A&W HOLIDAY INN,UNI,2,,,,CHARGE,,,A&W HOLIDAY INN,,,,,,,,,A&W,,,,,
UNI_2___CHARGE__A W HOLIDAY INN,UNI,2,,,,CHARGE,,,A W HOLIDAY INN,,,,,,,,,A&W,,,,,
USA_1___CHARGE__AAA ACG,USA,1,,,,CHARGE,,,AAA ACG,,,,,,,,,AAA,,,,,
USA_1___CHARGE__AAA AKRON,USA,1,,,,CHARGE,,,AAA AKRON,,,,,,,,,AAA,,,,,
USA_1___CHARGE__AAA AUTO,USA,1,,,,CHARGE,,,AAA AUTO,,,,,,,,,AAA,,,,,
USA_1___CHARGE__AAA CA,USA,1,,,,CHARGE,,,AAA CA,,,,,,,,,AAA,,,,,
USA_1___CHARGE__AAA CAR CARE,USA,1,,,,CHARGE,,,AAA CAR CARE,,,,,,,,,AAA,,,,,
USA_1___CHARGE__AAA COLORADO,USA,1,,,,CHARGE,,,AAA COLORADO,,,,,,,,,AAA,,,,,
USA_1___CHARGE__AAA CORP,USA,1,,,,CHARGE,,,AAA CORP,,,,,,,,,AAA,,,,,
USA_1___CHARGE__AAA EAST PROVI,USA,1,,,,CHARGE,,,AAA EAST PROVI,,,,,,,,,AAA,,,,,
USA_1___CHARGE__AAA EC,USA,1,,,,CHARGE,,,AAA EC,,,,,,,,,AAA,,,,,
USA_1___CHARGE__AAA FLEET,USA,1,,,,CHARGE,,,AAA FLEET,,,,,,,,,AAA,,,,,
USA_1___CHARGE__AAA FUELS,USA,1,,,,CHARGE,,,AAA FUELS,,,,,,,,,AAA,,,,,
USA_1___CHARGE__AAA HUDSON,USA,1,,,,CHARGE,,,AAA HUDSON,,,,,,,,,AAA,,,,,
